ADDRESS,FIRST APPROACH,SECOND APPROACH,LATITUDE,LONGITUDE,GO-LIVE DATE,LOCATION
732 N Pulaski Rd,SB,NB,41.8945,-87.7262,03/24/2014,"(41.8945, -87.7262)"
7122 S South Chicago Ave,SEB,,41.7652,-87.6048,08/20/2018,"(41.7652, -87.6048)"
3655 W Jackson Blvd,EB,WB,41.8771,-87.7182,09/10/2013,"(41.8771, -87.7182)"
630 S State St,SB,,41.8738,-87.6277,11/25/2013,"(41.8738, -87.6277)"
4436 N Western Ave,SB,,41.9624,-87.6889,01/04/2014,"(41.9624, -87.6889)"
3130 N Ashland Ave,SB,,41.9388,-87.6688,09/26/2014,"(41.9388, -87.6688)"
4446 N Broadway Ave,SB,,41.9629,-87.656,11/23/2013,"(41.9629, -87.656)"
1226 S Western Ave,SB,,41.90379,-87.6872,02/24/2014,"(41.90379, -87.6872)"
6935 W Addison St,EB,WB,41.94543,-87.80021,03/15/2023,"(41.94543, -87.80021)"
4124 W Foster Ave,WB,EB,41.9755,-87.7317,08/23/2013,"(41.9755, -87.7317)"
6125 N Cicero Ave,NB,SB,41.9921,-87.7485,03/17/2014,"(41.9921, -87.7485)"
4925 S Archer Ave,NEB,SWB,41.8036,-87.721,01/31/2014,"(41.8036, -87.721)"
4350 W 79th St,WB,,41.74949,-87.7289,05/19/2023,"(41.74949, -87.7289)"
10318 S Indianapolis Ave,SB,NB,41.7076,-87.5298,12/24/2013,"(41.7076, -87.5298)"
445 W 127th St,EB,WB,41.6632,-87.6337,10/17/2013,"(41.6632, -87.6337)"
2928 S Halsted St,SB,NB,41.8408,-87.6463,01/18/2014,"(41.8408, -87.6463)"
5433 S Pulaski Ave,NB,,41.79399,-87.723,04/18/2023,"(41.79399, -87.723)"
4246 W 47th St,WB,,41.8078,-87.7301,08/27/2018,"(41.8078, -87.7301)"
4516 W Marquette Rd,EB,WB,41.77129,-87.7358,03/30/2023,"(41.77129, -87.7358)"
14 W Chicago Ave,WB,,41.8968,-87.6288,04/29/2014,"(41.8968, -87.6288)"
2638 W Fullerton Ave,EB,WB,41.9249,-87.6941,03/10/2023,"(41.9249, -87.6941)"
1635 N Ashland Ave,NB,,41.9117,-87.6676,03/03/2014,"(41.9117, -87.6676)"
1229 N Western Ave,NB,,41.9039,-87.6869,02/24/2014,"(41.9039, -87.6869)"
2329 W Division St,EB,WB,41.9029,-87.6858,02/24/2014,"(41.9029, -87.6858)"
2109 E 87th St,EB,WB,41.737,-87.5729,09/18/2014,"(41.737, -87.5729)"
6510 W Bryn Mawr Ave,WB,,41.983,-87.7908,09/05/2014,"(41.983, -87.7908)"
3217 W 55th St,EB,,41.7934,-87.7043,01/07/2015,"(41.7934, -87.7043)"
1507 W 83rd St,EB,WB,41.743,-87.6611,10/11/2014,"(41.743, -87.6611)"
3111 N Ashland Ave,NB,,41.9383,-87.6685,09/26/2014,"(41.9383, -87.6685)"
1111 N Humboldt Blvd,SB,NB,41.9014,-87.7021,11/19/2013,"(41.9014, -87.7021)"
7508 W Touhy Ave,EB,WB,42.0116,-87.8142,03/02/2023,"(42.0116, -87.8142)"
7518 S Vincennes Ave,SB,NB,41.7571,-87.6318,02/17/2014,"(41.7571, -87.6318)"
4707 W Peterson Ave,EB,,41.9898,-87.7462,03/17/2014,"(41.9898, -87.7462)"
4674 W Peterson Ave,WB,,41.99,-87.7453,03/17/2014,"(41.99, -87.7453)"
2501 W Irving Park Rd,EB,WB,41.9539,-87.6913,05/02/2023,"(41.9539, -87.6913)"
655 W. Root St.,EB,WB,41.8189,-87.6425,07/28/2023,"(41.8189, -87.6425)"
3521 N Western Ave,NB,,41.9456,-87.6881,01/31/2014,"(41.9456, -87.6881)"
6330 S Dr Martin Luther King Jr Dr,SB,NB,41.7793,-87.6161,07/11/2023,"(41.7793, -87.6161)"
3601 N Milwaukee Ave,NB,SB,41.9466,-87.736,03/30/2023,"(41.9466, -87.736)"
5432 W Lawrence Ave,WB,EB,41.9678,-87.7639,02/14/2014,"(41.9678, -87.7639)"
4909 N Cicero Ave,NB,SB,41.9701,-87.7477,09/18/2014,"(41.9701, -87.7477)"
4123 N Central Ave,NB,SB,41.9557,-87.7669,03/31/2014,"(41.9557, -87.7669)"
4929 S Pulaski Rd,NB,,41.8033,-87.7233,01/31/2014,"(41.8033, -87.7233)"
5428 S Pulaski S Rd,SB,,41.79419,-87.7233,03/20/2023,"(41.79419, -87.7233)"
5030 S Pulaski Rd,SB,,41.8014,-87.7235,01/31/2014,"(41.8014, -87.7235)"
629 S State St,NB,,41.8738,-87.6274,11/25/2013,"(41.8738, -87.6274)"
3851 W 79th St,EB,,41.7494,-87.7191,02/10/2014,"(41.7494, -87.7191)"
5454 W Irving Park,WB,EB,41.9533,-87.7643,11/10/2013,"(41.9533, -87.7643)"
1142 W Irving Park Rd,WB,EB,41.9545,-87.6589,12/06/2013,"(41.9545, -87.6589)"
11153 S Vincennes Ave,NB,,41.6907,-87.6641,01/08/2014,"(41.6907, -87.6641)"
536 E Morgan Dr,EB,WB,41.7935,-87.6119,01/19/2014,"(41.7935, -87.6119)"
2445 W 51st St,EB,,41.801,-87.6861,02/24/2014,"(41.801, -87.6861)"
1455 W Division St,EB,,41.9033,-87.6649,09/05/2018,"(41.9033, -87.6649)"
3843 W 111th St,EB,WB,41.6912,-87.7172,01/13/2014,"(41.6912, -87.7172)"
5471 W Higgins Rd,EB,WB,41.9692,-87.764,02/14/2014,"(41.9692, -87.764)"
6514 W Belmont Ave,WB,,41.9384,-87.7891,03/10/2014,"(41.9384, -87.7891)"
4040 W Chicago Ave,WB,,41.8954,-87.7277,03/24/2014,"(41.8954, -87.7277)"
1638 N Ashland Ave,SB,,41.9118,-87.6679,03/03/2014,"(41.9118, -87.6679)"
506 S Central Ave,SB,,41.8736,-87.7648,04/14/2014,"(41.8736, -87.7648)"
3034 W Foster Ave,WB,EB,41.9759,-87.7048,10/05/2013,"(41.9759, -87.7048)"
1817 N Clark St,NB,SB,41.9159,-87.63437,04/28/2023,"(41.9159, -87.63437)"
5330 S Cottage Grove Ave,SB,NB,41.7977,-87.6064,10/05/2013,"(41.7977, -87.6064)"
9618 S. Ewing  Ave,SB,NB,41.7207,-87.5354,05/31/2014,"(41.7207, -87.5354)"
1215 E 83RD ST,EB,WB,41.7442,-87.5933,05/05/2023,"(41.7442, -87.5933)"
5816 W Jackson Blvd,WB,EB,41.8772,-87.7704,11/06/2013,"(41.8772, -87.7704)"
3809 W Belmont Ave,EB,,41.939,-87.7226,07/20/2023,"(41.939, -87.7226)"
4319 W 47th St,EB,,41.8076,-87.7318,08/27/2018,"(41.8076, -87.7318)"
6909 S Kedzie Ave,NB,,41.7677,-87.7027,09/06/2013,"(41.7677, -87.7027)"
6818 S Kedzie Ave,SB,,41.7691,-87.703,09/06/2013,"(41.7691, -87.703)"
2912 W Roosevelt Rd,WB,,41.8666,-87.699,10/05/2013,"(41.8666, -87.699)"
449 N Columbus Dr,NB,,41.89,-87.6202,01/07/2014,"(41.89, -87.6202)"
2432 N Ashland Ave,SB,,41.9262,-87.6683,01/25/2014,"(41.9262, -87.6683)"
2549 W Addison St,EB,WB,41.9466,-87.6905,01/31/2014,"(41.9466, -87.6905)"
2080 W Pershing Rd,WB,EB,41.8232,-87.678,09/07/2013,"(41.8232, -87.678)"
4949 W Lawrence Ave,EB,WB,41.9679,-87.7523,03/22/2023,"(41.9679, -87.7523)"
1754 N Pulaski Rd,SB,NB,41.9134,-87.7266,11/09/2015,"(41.9134, -87.7266)"
57 E 95th St,WB,,41.7216,-87.6215,10/12/2013,"(41.7216, -87.6215)"
62 E 95th St,EB,,41.7219,-87.6214,10/12/2013,"(41.7219, -87.6214)"
